token_type,token_address,receiver,amount,id
erc20,,0x062a07cBf4848fdA67292A96a5E02C97E402233F,0.041056974742795821,
erc20,,0x7239C9c7Ca2ed6F684182FcA881618fE4b557f9E,0.000115467293251010,
erc20,,0xF5f61157f3c13e4bbC5C42E75Ae80946b72de83F,0.000051472991096122,
erc20,,0x78b8A76BEa31733777556033e2a116df66C4C41C,0.000055339322317737,
erc20,,0xc92eA4a574F8D61567240ae5260F8BE27Bef2c6B,0.000004065046476309,
erc20,,0x182FCF35D9065375c0C74fccB13DffE912ca83B3,0.000000063984887393,
erc20,,0xDca875f1514152E3049761fE32C9782719A2F34b,0.000003467097875160,
erc20,,0x652968C8e951709997418eB6B22B7f2f8E99fdfa,0.000292352501727083,
erc20,,0x34845272292c2bDe89e2B764302aBB484e2A7068,0.000081464926946405,
erc20,,0x1A43B9b53dcee806771891f84b93758Dc4a59Ca9,0.000179044483098483,
erc20,,0x5cFE3A15c0f55B8C087D5063258a49e20784DE8e,0.000000314187483254,
erc20,,0xE983d2f4953C8cAf68Dd8f5a196D5fe5f12fbA91,0.000000915725741421,
erc20,,0xD131F1BcDd547e067Af447dD3C36C99d6be9FdEB,0.013726131002733004,
erc20,,0xd5BAF6781D46f7c360e45c6F3831349dE9Af6BeE,0.000006357943860193,
erc20,,0x138A87c80d1659AEe5e729221cA4872F51B2937d,0.000015323288774811,
erc20,,0xEd80D5A03e833D05BF190e116f22E5e447b8E39a,0.000003230920056495,
erc20,,0xa4A45767A697384f685a916e17b1E35e37314540,0.000057572239516906,
erc20,,0xd9B325E4040AbdAe9aE4Bdc31bABF9698429aa53,0.000009561253276336,
erc20,,0xCD1FF54458fcf47a90D57b546dD6E09a2A8cf561,0.000012643244811926,
erc20,,0xb8530006b544561E8Ae916bD34b06E6D7Ad0c001,0.000003252037181047,
erc20,,0xc03876Ddf9fBDc47AE66Bc4c7A639f0D78d90904,0.000079189217070956,
erc20,,0x258B3859Bd1ec183E1CB0d124590894a0DCf85a4,0.000196511209730261,
erc20,,0x60fB4B046b07cE529fb93598286339873d26DD0C,0.000561435541803788,
erc20,,0xe6b5A31d8bb53D2C769864aC137fe25F4989f1fd,0.000991815369116631,
erc20,,0x5012a077e38A65B999388c5c89f18DBd21B45403,0.003395665777943735,
erc20,,0x3fC124728D1eE5FC2B95Fd60D8bd8C39788110d0,0.000001985009707912,
erc20,,0x9fE5829435eB70d4a3C51f8Df130f6AAD3475Efa,0.000063491295968795,
erc20,,0xCBb54Eda2048b57d1b0Afb19a73948E9D58B6973,0.000003423442576547,
erc20,,0x01feDe4Bb0f06cA47735BE98B7a083a60C087a7D,0.000294606709928948,
erc20,,0x8eEF779818Afa953b0652e45438423ebE089F55A,0.000016920016503783,
erc20,,0x75060d4a14735b4a416a26e3d5e64201590dA701,0.000186886552287457,
erc20,,0x8a4a50B13Fd2cb36FeB96c408CB98B4c9F2b8F25,0.000158378434141913,
erc20,,0x9BD215C2530dF574657510B2F991d5C326df7C50,0.000000297538983562,
erc20,,0x48b0320c7E9Fc671841a713156dA73df75765c66,0.000053836063813561,
erc20,,0xDdf820EfeD77eFdB2B13A379390b6225cAc2d168,0.000001221289663076,
erc20,,0x1E593f9FAbd9A166fC6Dd0Ad8255A266fDfb490e,0.041389564122419890,
erc20,,0xA0efD27acC781549D5b78e89E561AA0903932d56,0.000140791303910380,
erc20,,0xa5b7891cfebDCf04B62Ede5D68E7cE524d4Cdc86,0.000005364383150009,
erc20,,0x96F937286A008BD3D140F41dbaeDF4ad543B9A9c,0.000067583468218895,
erc20,,0x0851DAE86b9504adB9aCa6bb7031e178d0236fAF,0.000004396509366370,
erc20,,0x597BEa912e8734E17DDc4f43A489a1472d9459cF,0.000000218562239116,
erc20,,0x3470992973DB795039d86B3E6682784b325b3121,0.000001964448940796,
erc20,,0xA2D35E418814A8b6367c66a5ac2FEc8ea16332b2,0.000003339082069739,
erc20,,0xd9220628480F074Fe8D1d9A493C0369E6C4FEf0A,0.000004318114756937,
erc20,,0xD642279425D986B5A51037cEd3B9DF366639229d,0.000000888665007451,
erc20,,0x0E80A01f8E69D535975Fa34e64498651BC74247f,0.000434244211284399,
erc20,,0x94003c45A74Dbe132D45d15a0993CaeBf55aeb61,0.000004041741104482,
erc20,,0x17F343182B42D6488FC54B6ae73ac5DA5Ad4E326,0.000006843950480866,
erc20,,0x613D330E15e6c54c64B02F23D11a07D38ad911FE,0.000155740711284370,
erc20,,0x43e65F8116174d1c38Eed3545d21fC37ea34B565,0.000000604000698197,
erc20,,0x12846A6Da4e729a6B5c33d32F93bf52EE3CAe8C3,0.000000538491383804,
erc20,,0xe0CdfBEAa6964cd87055832cB4EE928450189F31,0.000000475135302426,
erc20,,0xD0B74BAE747a7756644B1f453577449055693A6c,0.000000105585622761,
erc20,,0xE89b519AbD57Be6FE2c9CF1C3cE2488F5d810A44,0.000000528456041920,
erc20,,0xB8a87098C7c5B04c6EE70311d7bE8E9AC654d5E4,0.000497732923959263,
erc20,,0xf7E744527cc82E24C3Badc2082d0391413b321E5,0.000004158961611881,
erc20,,0x0a16D6fEe7cf6DEb16BC397294872094F92Cb6Bd,0.000005074721582644,
erc20,,0x4dfBd563F7055b8Ec1666A41e07a36f0f9f98B22,0.000128310656117287,
erc20,,0xB5981f66366F1EF8D26FbD343177a0c6FA897499,0.000001552108654591,
erc20,,0x9bE82cD40bFFDCe2336bA286aBc7aFca42dBaBC7,0.000326689147768992,
erc20,,0x9693200746C056Bb3E548B6A25c5Fb1d5db2d874,0.000000036954967966,
erc20,,0xBcEdb3E27F2650F4698E1Cc6A02BbD2cEF123B4B,0.000034262534586034,
erc20,,0xdd3bC8DCd86695E36e61A820b8E7cDC258E213e7,0.000246945383717738,
erc20,,0x0E9B063789909565CEdA1Fba162474405A151E66,0.000015573879354437,
